"country","iso2c","iso3c","year","NY.GDP.MKTP.CD","date"
"Brazil","BR","BRA",2000,655448231983.527,"2000"
"Brazil","BR","BRA",2001,559983634798.981,"2001"
"Brazil","BR","BRA",2002,509795273806.715,"2002"
"Brazil","BR","BRA",2003,558233745651.874,"2003"
"Brazil","BR","BRA",2004,669289424806.307,"2004"
"Brazil","BR","BRA",2005,891633839894.183,"2005"
"Brazil","BR","BRA",2006,1107626541434.92,"2006"
"Brazil","BR","BRA",2007,1397114486368.67,"2007"
"Brazil","BR","BRA",2008,1695855083497.52,"2008"
"Brazil","BR","BRA",2009,1666996438581.43,"2009"
"Brazil","BR","BRA",2010,2208837745100.55,"2010"
"Brazil","BR","BRA",2011,2616156223917.69,"2011"
"Brazil","BR","BRA",2012,2465227802806.76,"2012"
"Brazil","BR","BRA",2013,2472819535557.21,"2013"
"Brazil","BR","BRA",2014,2456043727198.85,"2014"
"Brazil","BR","BRA",2015,1802212206814.5,"2015"
"Brazil","BR","BRA",2016,1795693482853.01,"2016"
"Brazil","BR","BRA",2017,2063514977365.65,"2017"
"Brazil","BR","BRA",2018,1916933898010.99,"2018"
"Brazil","BR","BRA",2019,1873288205059.69,"2019"
"Brazil","BR","BRA",2020,1476107231310.49,"2020"
"Brazil","BR","BRA",2021,1670647398904.9,"2021"
"Brazil","BR","BRA",2022,1951923942083.32,"2022"
"Brazil","BR","BRA",2023,2191131765684.63,"2023"
"Brazil","BR","BRA",2024,2179412080828.59,"2024"
